seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 0.0676, 1/25, 0.85392, 2.2599, 2.2690, 0.5035, 19.0
1, 0.8956, 2/25, 0.91596, 2.1031, 2.1647, 0.5265, 25.27
1, 0.8544, 3/25, 0.99204, 1.9999, 2.0587, 0.5237, 20.79
1, 0.9524, 4/25, 0.96672, 2.1187, 2.1881, 0.5359, 16.18
1, 0.9496, 5/25, 0.93232, 2.0503, 2.3554, 0.5474, 20.150000000000002
1, 0.9524, 6/25, 0.91447, 1.9932, 2.1612, 0.5603, 24.95
1, 0.9572, 7/25, 0.91551, 1.9367, 2.2497, 0.5737, 27.500000000000004
1, 0.9536, 8/25, 0.87392, 1.9445, 2.2039, 0.5816, 29.69
1, 0.9396, 9/25, 0.89683, 1.9104, 2.0689, 0.5894, 36.8
1, 0.9832, 10/25, 0.90382, 1.8636, 2.1724, 0.5842, 34.28
1, 0.9548, 11/25, 0.94466, 1.8532, 2.1090, 0.5837, 28.7
1, 0.9832, 12/25, 0.96985, 1.8264, 2.1687, 0.5756, 34.37
1, 0.9420, 13/25, 0.96141, 1.8856, 2.1290, 0.5802, 39.5
1, 0.9480, 14/25, 0.90566, 1.8467, 2.2441, 0.5853, 36.63
1, 0.9832, 15/25, 0.87997, 1.7826, 2.4717, 0.5814, 36.559999999999995
1, 0.9528, 16/25, 0.89298, 1.8967, 2.2131, 0.5821, 42.33
1, 0.9832, 17/25, 0.88991, 1.8947, 2.1546, 0.5869, 37.68
1, 0.9548, 18/25, 0.88314, 1.7959, 2.2811, 0.582, 33.48
1, 0.9784, 19/25, 0.96372, 1.8599, 1.9125, 0.5741, 40.239999999999995
1, 0.9512, 20/25, 0.88841, 1.8589, 2.1794, 0.5833, 40.69
