seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
2, 0.5000, 1/25, 0.98688, 2.3402, 2.3451, 0.5, 10.47
2, 0.4960, 2/25, 0.87944, 2.3258, 2.3262, 0.5044, 10.86
2, 0.9920, 3/25, 1.05485, 2.5114, 2.5320, 0.4902, 10.0
2, 0.9150, 4/25, 0.96975, 2.2608, 2.3048, 0.5127, 10.81
2, 0.9110, 5/25, 0.91842, 2.2543, 2.2848, 0.5232, 19.139999999999997
2, 0.9070, 6/25, 0.99192, 2.2521, 2.3076, 0.5169, 21.01
2, 0.9450, 7/25, 1.02567, 2.2146, 2.2990, 0.5155, 24.2
2, 1.0000, 8/25, 0.98776, 2.2258, 2.3556, 0.5211, 25.2
2, 1.0000, 9/25, 0.98990, 2.2402, 2.2840, 0.5241, 23.549999999999997
2, 1.0000, 10/25, 1.00623, 2.1954, 2.3784, 0.5227, 21.78
2, 1.0000, 11/25, 1.00402, 2.1927, 2.3636, 0.5258, 21.07
2, 0.8400, 12/25, 1.01486, 2.2187, 2.3386, 0.5254, 21.3
2, 1.0000, 13/25, 1.00823, 2.2050, 2.3488, 0.5282, 22.55
2, 1.0000, 14/25, 0.92257, 2.2196, 2.3836, 0.5456, 22.52
2, 1.0000, 15/25, 0.92030, 2.2395, 2.4162, 0.5509, 24.73
2, 1.0000, 16/25, 0.98907, 2.2633, 2.3561, 0.5458, 24.529999999999998
2, 1.0000, 17/25, 1.04934, 2.3126, 2.3352, 0.5393, 19.67
2, 1.0000, 18/25, 0.95287, 2.2872, 2.3021, 0.5552, 17.96
2, 1.0000, 19/25, 0.92826, 2.2374, 2.3589, 0.5621, 20.16
2, 1.0000, 20/25, 0.99675, 2.2847, 2.3306, 0.5508, 19.81
2, 1.0000, 21/25, 0.95183, 2.2718, 2.3777, 0.5567, 15.590000000000002
2, 1.0000, 22/25, 0.90346, 2.2468, 2.3692, 0.5668, 16.689999999999998
2, 1.0000, 23/25, 0.92582, 2.2648, 2.3486, 0.5642, 19.89
2, 1.0000, 24/25, 0.98280, 2.2832, 2.3587, 0.5553, 19.08
2, 1.0000, 25/25, 1.03430, 2.3247, 2.4600, 0.5523, 14.34
3, 0.5000, 1/25, 0.98685, 2.3522, 2.3579, 0.5, 10.0
3, 0.0050, 2/25, 0.92733, 2.3379, 2.3717, 0.5027, 10.42
3, 0.9960, 3/25, 1.04843, 2.3328, 2.3830, 0.4801, 10.14
3, 0.8910, 4/25, 0.90383, 2.3110, 2.3888, 0.5037, 15.229999999999999
3, 0.8620, 5/25, 0.95485, 2.2938, 2.3844, 0.498, 15.47
3, 0.8130, 6/25, 0.96817, 2.2907, 2.3966, 0.4981, 15.329999999999998
3, 0.8970, 7/25, 0.92879, 2.3157, 2.3849, 0.5071, 11.61
3, 0.8910, 8/25, 0.88037, 2.3057, 2.3972, 0.5302, 11.51
3, 0.8910, 9/25, 0.97891, 2.2846, 2.3695, 0.5321, 15.740000000000002
3, 1.0000, 10/25, 1.04248, 2.2705, 2.4151, 0.5256, 17.560000000000002
3, 1.0000, 11/25, 1.09070, 2.2740, 2.3884, 0.519, 13.41
3, 1.0000, 12/25, 0.92489, 2.3157, 2.3967, 0.5431, 14.360000000000001
3, 1.0000, 13/25, 0.92628, 2.3263, 2.3476, 0.5453, 12.24
3, 1.0000, 14/25, 0.97192, 2.3219, 2.3988, 0.5409, 9.3
3, 1.0000, 15/25, 0.95075, 2.2703, 2.3671, 0.5453, 10.45
3, 1.0000, 16/25, 0.95636, 2.3262, 2.4129, 0.5451, 10.43
3, 1.0000, 17/25, 0.98828, 2.3585, 2.4479, 0.5419, 5.93
3, 1.0000, 18/25, 0.90976, 2.3412, 2.3861, 0.5549, 9.1
3, 1.0000, 19/25, 0.86470, 2.3186, 2.4027, 0.5641, 10.32
3, 1.0000, 20/25, 0.85573, 2.3773, 2.4287, 0.5668, 5.36
3, 1.0000, 21/25, 0.88497, 2.3572, 2.4005, 0.5619, 6.52
3, 1.0000, 22/25, 0.97270, 2.3538, 2.3858, 0.5534, 10.54
3, 1.0000, 23/25, 0.95111, 2.3431, 2.3948, 0.5587, 9.47
