seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 0.9683, 1/25, 0.72809, 2.4248, 2.3434, 0.5532, 12.09
1, 0.4780, 2/25, 0.67937, 2.1228, 2.1818, 0.5891, 21.72
1, 0.6051, 3/25, 0.64604, 2.0384, 2.2585, 0.5922, 22.23
1, 0.4027, 4/25, 0.79968, 1.8360, 2.1915, 0.5716, 30.509999999999998
1, 0.5503, 5/25, 0.68881, 1.7433, 2.1204, 0.5743, 39.25
1, 0.4454, 6/25, 0.79242, 1.7901, 2.1944, 0.5546, 36.46
1, 0.5342, 7/25, 0.64642, 1.9563, 2.2683, 0.5776, 34.300000000000004
1, 0.5260, 8/25, 0.69139, 1.8207, 2.1927, 0.5736, 50.480000000000004
1, 0.4959, 9/25, 0.73000, 1.6709, 2.4126, 0.5505, 41.57
1, 0.4933, 10/25, 0.67311, 1.8004, 2.1262, 0.5562, 44.89
1, 0.4586, 11/25, 0.87349, 1.4587, 2.2643, 0.5593, 54.37
1, 0.4980, 12/25, 0.75171, 1.7731, 1.9594, 0.5566, 55.400000000000006
1, 0.7110, 13/25, 0.64317, 1.6846, 2.2260, 0.5521, 55.910000000000004
1, 0.6634, 14/25, 0.61922, 1.4355, 2.2901, 0.5681, 60.9
1, 0.6123, 15/25, 0.68974, 1.6375, 2.2147, 0.5456, 34.02
1, 0.5396, 16/25, 0.80550, 1.6601, 2.1754, 0.5556, 57.91
1, 0.5997, 17/25, 0.74909, 1.5084, 2.4265, 0.5414, 51.9
1, 0.5003, 18/25, 0.68604, 1.4272, 2.0293, 0.5649, 46.650000000000006
1, 0.5057, 19/25, 0.77733, 1.7347, 2.1760, 0.5505, 53.839999999999996
1, 0.5243, 20/25, 0.69830, 1.6513, 2.4244, 0.5436, 67.11
1, 0.5161, 21/25, 0.68428, 1.2840, 1.6177, 0.5437, 61.53999999999999
1, 0.3918, 22/25, 0.79464, 1.2880, 1.9770, 0.5551, 48.230000000000004
1, 0.5250, 23/25, 0.63213, 1.5339, 2.0524, 0.547, 76.28
1, 0.5218, 24/25, 0.81477, 1.3900, 1.8211, 0.5205, 70.39
1, 0.5547, 25/25, 0.80213, 1.3920, 2.2159, 0.5283, 73.1
2, 0.9429, 1/25, 0.68954, 2.2602, 2.4033, 0.5433, 17.39
2, 0.7780, 2/25, 0.66567, 2.1914, 2.3714, 0.587, 22.61
2, 0.8237, 3/25, 0.74081, 2.1313, 2.4270, 0.5737, 27.68
2, 0.8882, 4/25, 0.72728, 2.3692, 2.4865, 0.5679, 27.02
2, 0.8644, 5/25, 0.69042, 2.6787, 2.7324, 0.5793, 15.479999999999999
2, 0.9470, 6/25, 0.73624, 2.2721, 2.4376, 0.5719, 18.93
2, 0.9120, 7/25, 0.70154, 2.3967, 2.2825, 0.577, 18.77
2, 0.9467, 8/25, 0.86339, 2.4396, 2.4188, 0.5541, 10.79
2, 0.9267, 9/25, 0.68480, 2.1184, 2.2469, 0.5633, 17.54
2, 0.9006, 10/25, 0.66461, 2.4124, 2.1163, 0.5687, 13.139999999999999
2, 0.8752, 11/25, 0.84659, 2.0389, 2.6037, 0.5577, 21.07
2, 0.7579, 12/25, 0.76114, 2.4391, 2.1868, 0.5553, 14.08
2, 0.8635, 13/25, 0.83415, 2.2130, 2.2000, 0.5336, 18.740000000000002
2, 0.7447, 14/25, 0.78770, 2.1144, 2.0391, 0.5546, 14.280000000000001
2, 0.8966, 15/25, 0.69213, 1.8909, 2.1542, 0.5562, 28.000000000000004
2, 0.9752, 16/25, 0.70080, 2.0535, 2.0058, 0.557, 14.249999999999998
2, 0.7871, 17/25, 0.63490, 1.8693, 2.3261, 0.547, 25.119999999999997
2, 0.7369, 18/25, 0.77608, 1.9817, 1.9766, 0.5513, 28.910000000000004
2, 0.6530, 19/25, 0.86753, 1.6316, 2.1791, 0.5472, 21.55
2, 0.7654, 20/25, 0.88931, 1.9362, 2.3062, 0.5239, 23.580000000000002
2, 0.6359, 21/25, 0.82004, 1.9977, 2.4271, 0.5287, 29.03
2, 0.6611, 22/25, 0.78382, 1.5341, 1.8170, 0.5294, 39.06
