seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 1.0000, 1/25, 1.07876, 2.5691, 2.4350, 0.4887, 2.06
1, 1.0000, 2/25, 1.01878, 2.5069, 2.3785, 0.5261, 11.379999999999999
1, 1.0000, 3/25, 1.03061, 2.5158, 2.2961, 0.5319, 19.580000000000002
1, 1.0000, 4/25, 0.89424, 2.4466, 2.3826, 0.5567, 13.18
1, 1.0000, 5/25, 0.97086, 2.4780, 2.4115, 0.5519, 11.59
1, 1.0000, 6/25, 0.90923, 2.4488, 2.4366, 0.5613, 9.47
1, 1.0000, 7/25, 0.92439, 2.5305, 2.4634, 0.5614, 9.02
1, 1.0000, 8/25, 0.95599, 2.4617, 2.4184, 0.5601, 8.24
1, 1.0000, 9/25, 0.90959, 2.4774, 2.4056, 0.5747, 7.4399999999999995
1, 1.0000, 10/25, 0.93116, 2.3745, 2.3624, 0.5764, 13.3
1, 1.0000, 11/25, 0.86436, 2.5132, 2.5132, 0.5937, 16.31
1, 1.0000, 12/25, 0.97970, 2.4141, 2.4955, 0.5748, 8.72
1, 1.0000, 13/25, 0.90412, 2.4030, 2.4407, 0.5866, 13.15
1, 1.0000, 14/25, 0.89141, 2.2169, 2.3265, 0.5888, 21.490000000000002
1, 1.0000, 15/25, 0.87557, 2.2380, 2.3217, 0.5918, 18.23
1, 1.0000, 16/25, 0.90669, 2.1499, 2.3666, 0.5841, 11.459999999999999
1, 1.0000, 17/25, 0.98587, 2.2434, 2.4357, 0.5701, 27.860000000000003
1, 1.0000, 18/25, 0.96416, 2.1456, 2.3937, 0.5803, 10.34
1, 1.0000, 19/25, 0.91903, 2.1436, 2.4858, 0.5834, 5.949999999999999
1, 1.0000, 20/25, 0.89170, 2.1895, 2.5025, 0.5842, 9.91
1, 1.0000, 21/25, 0.89991, 2.2542, 2.3107, 0.5759, 24.19
1, 1.0000, 22/25, 0.89703, 2.1699, 2.3992, 0.5688, 30.8
1, 1.0000, 23/25, 1.05036, 2.1911, 2.5031, 0.5571, 26.51
1, 1.0000, 24/25, 0.96501, 2.1014, 2.4462, 0.5675, 17.31
1, 1.0000, 25/25, 1.00250, 2.1651, 2.4503, 0.563, 20.830000000000002
1, 1.0500, 1/25, 1.16809, 2.6628, 2.5602, 0.4728, 3.84
1, 1.0500, 2/25, 0.99447, 2.5482, 2.4926, 0.5268, 6.05
1, 1.0500, 3/25, 1.03637, 3.2047, 2.8503, 0.5341, 15.18
1, 1.0500, 4/25, 1.05116, 4.7096, 3.9599, 0.5412, 11.28
1, 1.0500, 5/25, 1.20843, 7.2598, 5.9938, 0.528, 10.84
1, 1.0500, 6/25, 1.29161, 9.7302, 7.8720, 0.5204, 11.03
1, 1.0500, 7/25, 1.40583, 15.7654, 13.6138, 0.5165, 11.27
1, 1.0500, 8/25, 1.67068, 28.3809, 21.4277, 0.4975, 11.39
1, 1.0500, 9/25, 2.10162, 41.7563, 34.5878, 0.4807, 11.64
1, 1.0500, 10/25, 3.72933, 75.6029, 62.7210, 0.4663, 11.469999999999999
1, 1.0500, 11/25, 3.46151, 86.4660, 75.4375, 0.4644, 11.72
