seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
2, 0.0000, 1/25, 7.16288, 1.7775, 1.7831, 0.5354, 39.87
2, 0.0000, 2/25, 17.87140, 1.5381, 1.5343, 0.522, 45.839999999999996
2, 0.0000, 3/25, 33.76090, 1.3718, 1.3165, 0.5193, 47.54
2, 0.0000, 4/25, 53.17796, 1.1879, 1.1543, 0.5182, 49.81
2, 0.0000, 5/25, 81.98214, 1.0640, 1.0044, 0.5104, 58.29
2, 0.0000, 6/25, 105.94027, 1.0267, 0.9484, 0.5095, 60.589999999999996
2, 0.0000, 7/25, 125.67886, 0.9048, 0.8975, 0.509, 68.67
2, 0.0000, 8/25, 143.21041, 0.8425, 0.8544, 0.5099, 71.12
2, 0.0000, 9/25, 168.03513, 0.8215, 0.8358, 0.508, 72.36
2, 0.0000, 10/25, 188.12566, 0.8224, 0.7490, 0.5077, 73.03
2, 0.0000, 11/25, 202.05114, 0.8218, 0.8335, 0.5085, 73.69
2, 0.0000, 12/25, 220.04651, 0.7142, 0.7624, 0.5083, 77.41
2, 0.0000, 13/25, 242.72229, 0.6938, 0.7463, 0.508, 80.21000000000001
2, 0.0000, 14/25, 267.23485, 0.7181, 0.6856, 0.5081, 83.0
2, 0.0000, 15/25, 290.63808, 0.7146, 0.7296, 0.5079, 84.25
2, 0.0000, 16/25, 316.63405, 0.7478, 0.6413, 0.5067, 84.64
2, 0.0000, 17/25, 347.79794, 0.7034, 0.7165, 0.5069, 85.08
2, 0.0000, 18/25, 368.16121, 0.6464, 0.6226, 0.5075, 85.34
2, 0.0000, 19/25, 399.01864, 0.6355, 0.6688, 0.5071, 85.67
2, 0.0000, 20/25, 434.54601, 0.6828, 0.6334, 0.5061, 86.11999999999999
2, 0.0000, 21/25, 455.27025, 0.7181, 0.6157, 0.5068, 86.38
2, 0.0000, 22/25, 489.76776, 0.5658, 0.7112, 0.507, 86.35000000000001
2, 0.0000, 23/25, 514.35668, 0.6445, 0.5820, 0.5071, 86.77
2, 0.0000, 24/25, 531.09895, 0.6546, 0.5439, 0.5067, 87.25
2, 0.0000, 25/25, 522.69651, 0.6105, 0.5981, 0.5083, 86.6
2, 0.0500, 1/25, 3.28147, 1.7980, 1.8100, 0.5583, 39.25
2, 0.0500, 2/25, 3.44451, 1.5891, 1.5939, 0.5589, 45.78
2, 0.0500, 3/25, 3.73557, 1.4373, 1.3944, 0.5715, 47.73
2, 0.0500, 4/25, 3.98554, 1.3067, 1.2712, 0.5738, 48.86
2, 0.0500, 5/25, 4.30277, 1.1877, 1.1464, 0.5765, 50.19
2, 0.0500, 6/25, 4.94951, 1.1132, 1.0679, 0.5739, 59.830000000000005
2, 0.0500, 7/25, 4.97618, 0.9977, 0.9715, 0.5817, 61.370000000000005
2, 0.0500, 8/25, 4.75875, 0.9574, 0.9491, 0.5907, 62.519999999999996
2, 0.0500, 9/25, 4.83484, 0.9143, 0.9451, 0.5933, 63.67
2, 0.0500, 10/25, 4.51536, 0.8959, 0.8627, 0.6077, 65.79
