seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
2, 0.0000, 1/25, 8.01663, 1.5706, 1.5915, 0.5167, 37.85
2, 0.0000, 2/25, 34.41515, 1.0743, 1.1109, 0.5116, 60.529999999999994
2, 0.0000, 3/25, 105.85894, 0.8056, 0.7809, 0.5081, 72.76
2, 0.0000, 4/25, 222.87333, 0.4746, 0.5653, 0.5056, 83.28999999999999
2, 0.0000, 5/25, 341.28432, 0.4002, 0.3736, 0.5042, 88.72
2, 0.0000, 6/25, 436.24766, 0.3560, 0.3378, 0.5024, 91.66
2, 0.0000, 7/25, 497.33056, 0.3235, 0.3122, 0.5018, 94.58
2, 0.0000, 8/25, 549.07018, 0.1960, 0.2597, 0.5021, 95.3
2, 0.0000, 9/25, 619.84229, 0.1941, 0.2247, 0.5012, 95.43
2, 0.0000, 10/25, 668.80383, 0.1374, 0.2173, 0.5011, 96.28999999999999
2, 0.0000, 11/25, 711.61136, 0.1811, 0.1481, 0.5019, 96.73
2, 0.0000, 12/25, 729.96486, 0.1205, 0.1777, 0.5009, 96.96000000000001
2, 0.0000, 13/25, 794.56705, 0.1011, 0.1435, 0.5019, 97.34
2, 0.0000, 14/25, 836.49423, 0.0995, 0.1182, 0.5009, 97.47
2, 0.0000, 15/25, 892.13544, 0.0895, 0.1133, 0.5004, 97.76
2, 0.0000, 16/25, 952.45864, 0.1096, 0.1376, 0.5006, 97.75
2, 0.0000, 17/25, 1016.32380, 0.1772, 0.1747, 0.5009, 97.8
2, 0.0000, 18/25, 1068.74095, 0.1714, 0.1381, 0.5007, 97.76
2, 0.0000, 19/25, 1133.38650, 0.1438, 0.2001, 0.5006, 97.91
2, 0.0000, 20/25, 1215.38176, 0.1337, 0.1789, 0.5008, 98.15
2, 0.0000, 21/25, 1207.32031, 0.1343, 0.1448, 0.5005, 98.24000000000001
2, 0.0000, 22/25, 1301.00237, 0.1084, 0.1342, 0.5011, 98.15
