seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
2, 0.0000, 1/25, 0.98754, 2.3436, 2.3381, 0.5, 10.67
2, 0.0000, 2/25, 0.94203, 2.3065, 2.3023, 0.5, 13.950000000000001
2, 0.0000, 3/25, 0.84375, 2.2799, 2.2739, 0.5034, 12.06
2, 0.0000, 4/25, 0.85815, 2.2118, 2.2610, 0.5269, 12.34
2, 0.0000, 5/25, 1.09081, 2.1616, 2.2016, 0.4998, 20.77
2, 0.0000, 6/25, 1.85344, 2.0372, 2.1353, 0.4634, 22.23
2, 0.0000, 7/25, 3.42137, 1.9719, 2.0621, 0.4459, 23.41
2, 0.0000, 8/25, 6.18703, 1.8387, 1.9711, 0.4473, 29.23
2, 0.0000, 9/25, 10.79317, 1.8280, 2.0210, 0.4546, 31.369999999999997
2, 0.0000, 10/25, 12.25787, 1.8078, 1.9259, 0.4574, 28.58
