seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 0.5000, 1/50, 1.19820, 2.2204, 2.2374, 0.4745, 14.469999999999999
1, 0.5000, 2/50, 1.18161, 2.0367, 2.0644, 0.4905, 29.43
1, 0.5000, 3/50, 1.28345, 1.8689, 1.9198, 0.4912, 33.660000000000004
1, 0.5000, 4/50, 1.40223, 1.7229, 1.7999, 0.4927, 40.760000000000005
1, 0.5000, 5/50, 1.36098, 1.7016, 1.8062, 0.5004, 41.15
1, 0.5000, 6/50, 1.38818, 1.4145, 1.6004, 0.512, 57.45
1, 0.5000, 7/50, 1.41506, 1.3272, 1.5759, 0.5154, 58.120000000000005
1, 0.5000, 8/50, 1.56094, 1.1809, 1.6451, 0.5164, 59.37
1, 0.5000, 9/50, 1.67823, 1.0401, 1.5243, 0.5159, 67.80000000000001
1, 0.5000, 10/50, 1.59597, 1.0219, 1.5393, 0.5177, 65.52
1, 0.5000, 11/50, 1.59908, 0.9150, 1.5312, 0.5164, 70.96000000000001
1, 0.5000, 12/50, 1.54359, 1.1658, 1.7640, 0.5219, 63.36000000000001
1, 0.5000, 13/50, 1.58202, 1.1982, 1.7926, 0.5201, 61.19
