seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 0.0000, 1/50, 129.52856, 4.0268, 4.0341, 0.5055, 8.5
1, 0.0000, 2/50, 140.80467, 3.1901, 3.2184, 0.5055, 20.84
1, 0.0000, 3/50, 151.00258, 2.9177, 2.8677, 0.5055, 28.060000000000002
1, 0.0000, 4/50, 181.07502, 2.6556, 2.6185, 0.5055, 35.02
1, 0.0000, 5/50, 183.22745, 2.5968, 2.5690, 0.5055, 36.74
1, 0.0000, 6/50, 199.92089, 2.6706, 2.6180, 0.5055, 38.95
1, 0.0000, 7/50, 187.22023, 2.8785, 2.7952, 0.5055, 35.93
1, 0.0000, 8/50, 222.35529, 2.8073, 2.6953, 0.5055, 41.42
1, 0.0000, 9/50, 249.40117, 2.7201, 2.7195, 0.5055, 40.96
1, 0.0000, 10/50, 222.97553, 2.7935, 2.8785, 0.5055, 41.61
1, 0.0000, 11/50, 244.13141, 2.8413, 2.9664, 0.5055, 43.32
1, 0.0000, 12/50, 255.88477, 2.5930, 2.6713, 0.5055, 46.589999999999996
1, 0.0000, 13/50, 254.97888, 2.6620, 2.6364, 0.5055, 48.13
1, 0.0000, 14/50, 252.33222, 2.5410, 2.5627, 0.5055, 50.470000000000006
1, 0.0000, 15/50, 271.69481, 2.5511, 2.5120, 0.5055, 51.92
1, 0.0000, 16/50, 265.27391, 2.4671, 2.4023, 0.5055, 52.03
1, 0.0000, 17/50, 269.95720, 2.3740, 2.4641, 0.5055, 52.12
1, 0.0000, 18/50, 268.33484, 2.3901, 2.3943, 0.5055, 52.839999999999996
1, 0.0000, 19/50, 271.78742, 2.3481, 2.3963, 0.5055, 53.14
1, 0.0000, 20/50, 273.24332, 2.3841, 2.3844, 0.5055, 53.410000000000004
1, 0.0000, 21/50, 269.65971, 2.4368, 2.5312, 0.5055, 52.949999999999996
1, 0.0000, 22/50, 270.67006, 2.3862, 2.3545, 0.5055, 53.23
1, 0.0000, 23/50, 270.07239, 2.4092, 2.2957, 0.5055, 53.11
