seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 0.0000, 1/25, 0.97936, 2.3431, 2.3489, 0.5, 10.0
1, 0.0000, 2/25, 0.83662, 2.2355, 2.2589, 0.5113, 16.96
1, 0.0000, 3/25, 1.41197, 2.1433, 2.1677, 0.4459, 19.11
1, 0.0000, 4/25, 2.02325, 2.1693, 2.2224, 0.4181, 23.02
1, 0.0000, 5/25, 2.13195, 2.1315, 2.1903, 0.4183, 23.119999999999997
1, 0.0000, 6/25, 1.91001, 2.1475, 2.1876, 0.426, 22.55
1, 0.0000, 7/25, 1.57108, 2.1187, 2.1661, 0.4491, 20.52
1, 0.0000, 8/25, 1.50140, 2.0854, 2.1536, 0.463, 15.18
1, 0.0000, 9/25, 1.56556, 2.0667, 2.1339, 0.4529, 16.009999999999998
1, 0.0000, 10/25, 1.63363, 2.0673, 2.0913, 0.4504, 20.16
1, 0.0000, 11/25, 1.87220, 2.0174, 2.0580, 0.4511, 22.09
1, 0.0000, 12/25, 1.97376, 2.0238, 2.0683, 0.4543, 19.57
1, 0.0000, 13/25, 2.12087, 1.9854, 2.0165, 0.4564, 21.95
1, 0.0000, 14/25, 2.73531, 1.9737, 1.9662, 0.4482, 24.59
1, 0.0000, 15/25, 3.69793, 1.9940, 2.0071, 0.4431, 24.560000000000002
1, 0.0000, 16/25, 4.91738, 1.9516, 1.9829, 0.4463, 20.65
1, 0.0000, 17/25, 6.52588, 1.9079, 1.9154, 0.4478, 24.709999999999997
1, 0.0000, 18/25, 6.68644, 1.8695, 1.9837, 0.4529, 19.689999999999998
1, 0.0000, 19/25, 6.77578, 1.7999, 1.8899, 0.4551, 23.26
1, 0.0000, 20/25, 7.24827, 1.8115, 1.8466, 0.4503, 29.13
1, 0.0000, 21/25, 8.52844, 1.7104, 1.8324, 0.4469, 30.94
1, 0.0000, 22/25, 12.54261, 1.6743, 1.7597, 0.45, 29.24
1, 0.0000, 23/25, 19.30695, 1.7523, 1.8299, 0.4585, 29.470000000000002
1, 0.0000, 24/25, 19.04551, 1.6328, 1.7410, 0.459, 33.95
1, 0.0000, 25/25, 17.83283, 1.6110, 1.8273, 0.4587, 39.32
1, 0.0500, 1/25, 0.97508, 2.3359, 2.3440, 0.5, 10.0
1, 0.0500, 2/25, 0.84989, 2.2404, 2.2587, 0.511, 15.260000000000002
1, 0.0500, 3/25, 1.49492, 2.1908, 2.1883, 0.4382, 15.82
1, 0.0500, 4/25, 1.53410, 2.1746, 2.1979, 0.4369, 23.87
1, 0.0500, 5/25, 1.47094, 2.1504, 2.1625, 0.4429, 22.14
1, 0.0500, 6/25, 1.24088, 2.1219, 2.1392, 0.4635, 23.51
1, 0.0500, 7/25, 1.07530, 2.1240, 2.1563, 0.4825, 24.04
1, 0.0500, 8/25, 1.09158, 2.1122, 2.1563, 0.4816, 17.580000000000002
1, 0.0500, 9/25, 1.13137, 2.0906, 2.1827, 0.4939, 15.160000000000002
1, 0.0500, 10/25, 1.20562, 2.0662, 2.1311, 0.4814, 18.61
1, 0.0500, 11/25, 1.36476, 2.0458, 2.1310, 0.4653, 19.96
1, 0.0500, 12/25, 1.44190, 2.0338, 2.1045, 0.4661, 21.02
1, 0.0500, 13/25, 1.37152, 2.0033, 2.0900, 0.478, 23.25
1, 0.0500, 14/25, 1.29065, 1.9911, 2.0539, 0.4897, 22.040000000000003
1, 0.0500, 15/25, 1.36178, 1.9892, 2.0798, 0.4925, 22.29
1, 0.0500, 16/25, 1.57360, 1.9351, 2.0459, 0.4842, 22.84
1, 0.0500, 17/25, 1.89185, 1.9430, 2.0086, 0.4725, 22.66
1, 0.0500, 18/25, 2.23729, 1.9386, 2.1116, 0.4613, 22.919999999999998
1, 0.0500, 19/25, 2.67513, 1.9058, 2.2113, 0.4612, 25.779999999999998
1, 0.0500, 20/25, 2.96797, 1.8329, 1.9850, 0.4548, 22.29
1, 0.0500, 21/25, 3.32850, 1.9134, 2.0089, 0.4602, 28.9
1, 0.0500, 22/25, 3.40171, 1.8414, 1.9710, 0.4507, 22.88
1, 0.0500, 23/25, 3.26369, 1.8347, 2.0665, 0.4583, 25.369999999999997
1, 0.0500, 24/25, 2.97427, 1.8205, 1.9379, 0.465, 24.7
1, 0.0500, 25/25, 2.88552, 1.8243, 1.9449, 0.4641, 22.07
1, 0.1000, 1/25, 0.98148, 2.3395, 2.3455, 0.5, 10.0
1, 0.1000, 2/25, 0.82530, 2.2469, 2.2495, 0.5107, 12.620000000000001
1, 0.1000, 3/25, 1.21984, 2.1570, 2.1641, 0.4588, 23.27
1, 0.1000, 4/25, 1.54736, 2.1269, 2.1560, 0.4368, 23.41
1, 0.1000, 5/25, 1.25431, 2.1270, 2.1620, 0.4592, 23.29
1, 0.1000, 6/25, 1.03533, 2.1187, 2.1522, 0.4907, 16.49
1, 0.1000, 7/25, 1.02517, 2.0876, 2.1573, 0.5043, 16.98
1, 0.1000, 8/25, 1.14024, 2.0664, 2.1413, 0.4875, 21.44
1, 0.1000, 9/25, 1.27065, 2.0736, 2.1681, 0.4782, 21.740000000000002
1, 0.1000, 10/25, 1.15700, 2.0279, 2.1133, 0.4917, 22.88
1, 0.1000, 11/25, 1.12757, 2.0401, 2.1317, 0.5013, 20.21
1, 0.1000, 12/25, 1.26257, 2.0077, 2.0892, 0.4944, 20.34
1, 0.1000, 13/25, 1.49853, 1.9514, 2.0801, 0.4837, 20.31
1, 0.1000, 14/25, 1.69486, 1.9499, 2.0054, 0.4752, 19.189999999999998
1, 0.1000, 15/25, 1.64415, 1.9563, 2.0447, 0.4834, 17.849999999999998
1, 0.1000, 16/25, 1.51944, 1.9529, 2.0653, 0.498, 20.59
1, 0.1000, 17/25, 1.50336, 1.9044, 2.0219, 0.496, 21.02
1, 0.1000, 18/25, 1.77956, 1.9052, 2.0458, 0.4866, 23.3
1, 0.1000, 19/25, 1.97761, 1.8403, 2.0375, 0.4772, 24.279999999999998
1, 0.1000, 20/25, 2.09900, 1.8082, 2.0086, 0.4705, 23.549999999999997
1, 0.1000, 21/25, 2.06042, 1.8676, 1.9997, 0.4753, 21.57
1, 0.1000, 22/25, 2.25298, 1.8792, 2.0841, 0.4745, 19.77
1, 0.1000, 23/25, 2.33910, 1.8545, 1.9795, 0.4713, 27.18
1, 0.1000, 24/25, 1.96387, 1.8393, 2.0429, 0.4749, 27.810000000000002
1, 0.1000, 25/25, 2.02783, 1.8131, 2.0550, 0.4778, 27.310000000000002
1, 0.1500, 1/25, 0.97945, 2.3465, 2.3521, 0.5, 10.0
1, 0.1500, 2/25, 0.76469, 2.2621, 2.2602, 0.5066, 17.26
1, 0.1500, 3/25, 1.11387, 2.1882, 2.1876, 0.4698, 22.41
1, 0.1500, 4/25, 1.38087, 2.1601, 2.1618, 0.4471, 22.43
1, 0.1500, 5/25, 1.12454, 2.1525, 2.1750, 0.472, 23.95
1, 0.1500, 6/25, 0.99796, 2.1160, 2.1254, 0.4885, 21.34
1, 0.1500, 7/25, 0.95273, 2.1005, 2.1354, 0.5105, 15.340000000000002
1, 0.1500, 8/25, 1.16068, 2.0939, 2.1363, 0.4806, 15.709999999999999
1, 0.1500, 9/25, 1.27174, 2.0535, 2.1504, 0.4724, 20.26
1, 0.1500, 10/25, 1.19432, 2.0579, 2.1679, 0.4864, 22.67
1, 0.1500, 11/25, 1.09894, 2.0276, 2.1282, 0.4975, 20.630000000000003
1, 0.1500, 12/25, 1.07200, 2.0123, 2.1295, 0.5035, 22.24
1, 0.1500, 13/25, 1.13597, 2.0187, 2.1330, 0.5054, 22.73
1, 0.1500, 14/25, 1.24044, 1.9835, 2.0887, 0.5027, 21.93
1, 0.1500, 15/25, 1.37920, 1.9630, 2.0614, 0.4929, 19.98
1, 0.1500, 16/25, 1.42367, 1.9648, 2.1165, 0.4934, 22.86
1, 0.1500, 17/25, 1.41151, 1.9551, 2.1089, 0.4979, 27.22
1, 0.1500, 18/25, 1.57184, 1.9496, 2.1274, 0.4897, 24.91
1, 0.1500, 19/25, 1.54988, 1.9627, 2.1239, 0.489, 19.18
1, 0.1500, 20/25, 1.51552, 1.8762, 2.0326, 0.4953, 26.52
1, 0.1500, 21/25, 1.72233, 1.8994, 2.1002, 0.4903, 22.27
1, 0.1500, 22/25, 1.84969, 1.8870, 2.0043, 0.482, 14.27
1, 0.1500, 23/25, 1.49625, 1.9754, 2.0722, 0.4973, 22.470000000000002
1, 0.1500, 24/25, 1.44753, 1.9024, 2.0170, 0.4933, 30.28
1, 0.1500, 25/25, 1.62266, 1.8617, 2.0556, 0.4928, 32.08
1, 0.2000, 1/25, 0.97603, 2.3419, 2.3466, 0.5, 10.0
1, 0.2000, 2/25, 0.82500, 2.2447, 2.2637, 0.5115, 17.349999999999998
1, 0.2000, 3/25, 1.25238, 2.1847, 2.1757, 0.4562, 20.549999999999997
1, 0.2000, 4/25, 1.22143, 2.1473, 2.1373, 0.4595, 22.78
1, 0.2000, 5/25, 1.03755, 2.1447, 2.1464, 0.4846, 21.12
1, 0.2000, 6/25, 0.93597, 2.1036, 2.1554, 0.5084, 14.879999999999999
1, 0.2000, 7/25, 1.08184, 2.0883, 2.1359, 0.4889, 14.78
1, 0.2000, 8/25, 1.20320, 2.0730, 2.1466, 0.4767, 19.7
1, 0.2000, 9/25, 1.25248, 2.0736, 2.1670, 0.4757, 20.04
1, 0.2000, 10/25, 1.17177, 2.0456, 2.1868, 0.4926, 20.7
1, 0.2000, 11/25, 0.94906, 2.0570, 2.1564, 0.5152, 20.87
1, 0.2000, 12/25, 0.93919, 2.0307, 2.1175, 0.5171, 18.310000000000002
1, 0.2000, 13/25, 1.14955, 1.9936, 2.1211, 0.5023, 18.43
1, 0.2000, 14/25, 1.30946, 1.9907, 2.0751, 0.494, 17.36
1, 0.2000, 15/25, 1.19027, 2.0169, 2.1400, 0.5083, 18.56
1, 0.2000, 16/25, 1.22519, 1.9847, 2.0935, 0.5125, 21.83
1, 0.2000, 17/25, 1.41295, 1.9449, 2.0869, 0.4977, 19.189999999999998
1, 0.2000, 18/25, 1.63079, 1.9478, 2.0773, 0.4888, 17.46
1, 0.2000, 19/25, 1.55912, 1.9402, 2.0818, 0.4909, 15.83
1, 0.2000, 20/25, 1.26092, 1.9367, 2.1480, 0.5112, 22.220000000000002
1, 0.2000, 21/25, 1.19796, 1.9257, 2.0976, 0.52, 25.91
1, 0.2000, 22/25, 1.24036, 1.9163, 2.0624, 0.5143, 22.91
1, 0.2000, 23/25, 1.38672, 1.8677, 2.1779, 0.5043, 19.38
1, 0.2000, 24/25, 1.52173, 1.8963, 2.1932, 0.4989, 21.44
1, 0.2000, 25/25, 1.57879, 1.8575, 1.9959, 0.4912, 20.11
1, 0.2500, 1/25, 0.97959, 2.3483, 2.3527, 0.5, 10.0
1, 0.2500, 2/25, 0.77312, 2.2676, 2.2740, 0.5081, 16.77
1, 0.2500, 3/25, 1.16914, 2.2047, 2.1889, 0.4635, 19.36
1, 0.2500, 4/25, 1.25582, 2.1613, 2.1592, 0.4573, 22.86
1, 0.2500, 5/25, 1.09810, 2.1441, 2.1506, 0.4771, 21.47
1, 0.2500, 6/25, 0.90209, 2.1456, 2.1701, 0.5093, 20.28
1, 0.2500, 7/25, 0.96170, 2.1024, 2.1541, 0.5054, 13.41
1, 0.2500, 8/25, 1.15016, 2.1107, 2.1411, 0.479, 13.900000000000002
1, 0.2500, 9/25, 1.18163, 2.1161, 2.1672, 0.4779, 14.42
1, 0.2500, 10/25, 1.07190, 2.0772, 2.1626, 0.4987, 18.740000000000002
1, 0.2500, 11/25, 1.04036, 2.0407, 2.1466, 0.5136, 21.060000000000002
1, 0.2500, 12/25, 1.12669, 2.0353, 2.1772, 0.5074, 17.06
1, 0.2500, 13/25, 1.14775, 2.0273, 2.1451, 0.5104, 16.71
1, 0.2500, 14/25, 1.17797, 2.0337, 2.1018, 0.513, 14.31
1, 0.2500, 15/25, 1.27971, 2.0461, 2.0941, 0.5016, 12.18
1, 0.2500, 16/25, 1.15811, 2.0070, 2.1213, 0.5143, 14.05
1, 0.2500, 17/25, 1.09807, 2.0223, 2.1209, 0.5189, 20.630000000000003
1, 0.2500, 18/25, 1.19653, 1.9917, 2.0858, 0.5125, 22.939999999999998
1, 0.2500, 19/25, 1.34699, 1.9844, 2.1140, 0.5028, 18.6
1, 0.2500, 20/25, 1.26969, 1.9922, 2.1502, 0.507, 18.04
