seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 0.8000, 1/25, 0.90413, 2.2709, 2.3409, 0.4993, 18.65
1, 0.8000, 2/25, 0.99561, 2.1197, 2.1956, 0.5191, 22.06
1, 0.8000, 3/25, 1.03189, 2.0502, 2.1615, 0.5226, 18.32
1, 0.8000, 4/25, 0.94363, 2.0802, 2.2315, 0.5458, 18.92
1, 0.8000, 5/25, 0.98422, 2.0199, 2.0669, 0.5467, 16.619999999999997
1, 0.8000, 6/25, 0.88082, 2.0243, 2.0845, 0.5651, 18.4
1, 0.8000, 7/25, 0.95769, 1.8994, 2.1542, 0.562, 21.42
1, 0.8000, 8/25, 0.89653, 1.8849, 2.0666, 0.5715, 27.82
1, 0.8000, 9/25, 0.90823, 1.8860, 2.0741, 0.5809, 28.349999999999998
1, 0.8000, 10/25, 1.00465, 1.8385, 2.0977, 0.5697, 34.63
1, 0.8000, 11/25, 0.91571, 1.8125, 2.1375, 0.5886, 41.22
1, 0.8000, 12/25, 0.98185, 1.6935, 2.0575, 0.5732, 43.56
1, 0.8000, 13/25, 0.97165, 1.8108, 2.2630, 0.5757, 41.44
1, 0.8000, 14/25, 0.97236, 1.7151, 2.2446, 0.5769, 44.11
1, 0.8000, 15/25, 1.01271, 1.7661, 2.0663, 0.5714, 45.39
1, 0.8000, 16/25, 0.92465, 1.6688, 1.8985, 0.5794, 43.11
1, 0.8000, 17/25, 0.94745, 1.7443, 2.0902, 0.5802, 47.19
1, 0.8000, 18/25, 0.99888, 1.7581, 2.0398, 0.5709, 44.12
1, 0.8000, 19/25, 0.97722, 1.6780, 2.0854, 0.5735, 45.65
1, 0.8000, 20/25, 0.93040, 1.6803, 2.0127, 0.5789, 44.269999999999996
1, 0.8000, 21/25, 0.98837, 1.6658, 1.9952, 0.5626, 42.199999999999996
