seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 0.0000, 1/50, 36.38194, 1.8427, 1.8799, 0.501, 32.82
1, 0.0000, 2/50, 33.51022, 1.2437, 1.2246, 0.5006, 52.53
1, 0.0000, 3/50, 47.80870, 1.1041, 1.0874, 0.5006, 60.49
1, 0.0000, 4/50, 60.47495, 0.9261, 0.8867, 0.5006, 68.62
1, 0.0000, 5/50, 75.19344, 1.0393, 1.0917, 0.5006, 67.5
1, 0.0000, 6/50, 86.91863, 1.4343, 1.5291, 0.5006, 61.57
1, 0.0000, 7/50, 95.01256, 1.2314, 1.1708, 0.5006, 67.13
1, 0.0000, 8/50, 113.96374, 1.2009, 1.0738, 0.5006, 70.99
1, 0.0000, 9/50, 117.67603, 1.1210, 1.1279, 0.5006, 72.39999999999999
1, 0.0000, 10/50, 104.34556, 0.8755, 0.9035, 0.5006, 75.4
1, 0.0000, 11/50, 140.73393, 1.3110, 1.3116, 0.5006, 72.56
1, 0.0000, 12/50, 145.90478, 1.1770, 1.1803, 0.5006, 75.36
1, 0.0000, 13/50, 139.19272, 1.0462, 1.0838, 0.5006, 77.61
1, 0.0000, 14/50, 151.76185, 1.2540, 1.2027, 0.5006, 76.03999999999999
1, 0.0000, 15/50, 159.91699, 1.2171, 1.2880, 0.5006, 75.96000000000001
1, 0.0000, 16/50, 156.75574, 1.2261, 1.0558, 0.5006, 79.05
1, 0.0000, 17/50, 153.16053, 1.1861, 1.1551, 0.5006, 79.73
1, 0.0000, 18/50, 149.87022, 1.1439, 1.1415, 0.5006, 80.05
1, 0.0000, 19/50, 151.78015, 0.9251, 1.0045, 0.5006, 81.28
1, 0.0000, 20/50, 149.73865, 1.0068, 0.9754, 0.5006, 82.23
1, 0.0000, 21/50, 152.86291, 0.8676, 1.0118, 0.5006, 82.58
1, 0.0000, 22/50, 150.80587, 0.9418, 0.9398, 0.5006, 82.49
1, 0.0000, 23/50, 151.06893, 0.9640, 0.8677, 0.5006, 82.82000000000001
1, 0.0000, 24/50, 150.73957, 0.8483, 0.9672, 0.5006, 82.72
1, 0.0000, 25/50, 150.47842, 1.0069, 0.9431, 0.5006, 82.77
1, 0.0000, 26/50, 150.38029, 0.9763, 0.9241, 0.5006, 82.78
1, 0.0000, 27/50, 150.22072, 0.8950, 0.9434, 0.5006, 82.76
1, 0.0000, 28/50, 150.04806, 0.9323, 0.9785, 0.5006, 82.76
1, 0.0000, 29/50, 150.09681, 1.0996, 0.9388, 0.5006, 82.76
1, 0.0000, 30/50, 149.99929, 1.1242, 1.0196, 0.5006, 82.8
1, 0.0000, 31/50, 149.59518, 0.9905, 0.8508, 0.5006, 82.78999999999999
1, 0.0000, 32/50, 149.71300, 0.9193, 0.8955, 0.5006, 82.78999999999999
1, 0.0000, 33/50, 149.55861, 0.8853, 0.9769, 0.5006, 82.80999999999999
1, 0.0000, 34/50, 149.65317, 0.9942, 0.9244, 0.5006, 82.80999999999999
1, 0.0000, 35/50, 149.58247, 0.9967, 1.0745, 0.5006, 82.8
1, 0.0000, 36/50, 149.41197, 0.8665, 1.0063, 0.5006, 82.8
1, 0.0000, 37/50, 149.33651, 0.8923, 0.9037, 0.5006, 82.80999999999999
1, 0.0000, 38/50, 149.42036, 0.9800, 0.9708, 0.5006, 82.82000000000001
1, 0.0000, 39/50, 149.24756, 0.8777, 0.9612, 0.5006, 82.80999999999999
1, 0.0000, 40/50, 149.56101, 1.0041, 0.9735, 0.5006, 82.78999999999999
1, 0.0000, 41/50, 149.19258, 0.8640, 0.9915, 0.5006, 82.80999999999999
1, 0.0000, 42/50, 149.39753, 1.0074, 0.9437, 0.5006, 82.8
1, 0.0000, 43/50, 149.24113, 1.0660, 0.9328, 0.5006, 82.78999999999999
1, 0.0000, 44/50, 149.27517, 1.0660, 1.0858, 0.5006, 82.78999999999999
1, 0.0000, 45/50, 149.06989, 1.0146, 1.0058, 0.5006, 82.8
1, 0.0000, 46/50, 148.90577, 0.9438, 0.9161, 0.5006, 82.78
1, 0.0000, 47/50, 148.98130, 0.9413, 1.0224, 0.5006, 82.78
1, 0.0000, 48/50, 148.88260, 0.9776, 0.9461, 0.5006, 82.8
1, 0.0000, 49/50, 148.82545, 0.9149, 0.9412, 0.5006, 82.80999999999999
1, 0.0000, 50/50, 148.96688, 0.9498, 0.9278, 0.5006, 82.78999999999999
1, 0.0500, 1/50, 4.19311, 1.8291, 1.8610, 0.5188, 27.939999999999998
1, 0.0500, 2/50, 4.64233, 1.3355, 1.3237, 0.5071, 50.92
1, 0.0500, 3/50, 5.92566, 1.2208, 1.1735, 0.5039, 57.36
1, 0.0500, 4/50, 6.17949, 0.9641, 0.9426, 0.507, 67.67
1, 0.0500, 5/50, 6.21888, 0.8449, 0.8956, 0.5058, 69.74000000000001
1, 0.0500, 6/50, 6.18502, 0.9452, 0.9616, 0.5075, 68.91000000000001
1, 0.0500, 7/50, 7.45539, 0.8968, 0.8583, 0.5086, 71.41999999999999
1, 0.0500, 8/50, 7.29489, 0.9572, 0.9005, 0.513, 71.5
1, 0.0500, 9/50, 6.63315, 1.0233, 1.0388, 0.5161, 70.41
1, 0.0500, 10/50, 6.86183, 0.9073, 0.8920, 0.5159, 72.3
1, 0.0500, 11/50, 6.97982, 0.8583, 0.9238, 0.5198, 74.48
1, 0.0500, 12/50, 7.33692, 0.9117, 0.9360, 0.5262, 75.08
1, 0.0500, 13/50, 7.67351, 0.9956, 0.9993, 0.5257, 74.1
1, 0.0500, 14/50, 7.96952, 1.1369, 1.1105, 0.5252, 71.1
1, 0.0500, 15/50, 7.15749, 0.9012, 0.9398, 0.5548, 77.21000000000001
1, 0.0500, 16/50, 7.36905, 0.8251, 0.7787, 0.5693, 79.97
1, 0.0500, 17/50, 7.87003, 0.9362, 0.8285, 0.5801, 78.97
1, 0.0500, 18/50, 8.42932, 0.8926, 0.8441, 0.5929, 80.28999999999999
1, 0.0500, 19/50, 8.50600, 0.7427, 0.7934, 0.6039, 80.99
1, 0.0500, 20/50, 9.14192, 0.8688, 0.7755, 0.6051, 81.3
1, 0.0500, 21/50, 9.54909, 0.7705, 0.8401, 0.6078, 81.13
1, 0.0500, 22/50, 9.73425, 0.8314, 0.8214, 0.6061, 81.39
1, 0.0500, 23/50, 9.88981, 0.8404, 0.7889, 0.6081, 81.37
1, 0.0500, 24/50, 10.10223, 0.8195, 0.8217, 0.6096, 81.32000000000001
1, 0.0500, 25/50, 10.19277, 0.8411, 0.8762, 0.6102, 81.43
1, 0.0500, 26/50, 10.33153, 0.8479, 0.8863, 0.6098, 81.44
1, 0.0500, 27/50, 10.44815, 0.8325, 0.8068, 0.6089, 81.49
1, 0.0500, 28/50, 10.58309, 0.8817, 0.9121, 0.6094, 81.38
1, 0.0500, 29/50, 10.64128, 0.9590, 0.8554, 0.6084, 81.37
1, 0.0500, 30/50, 10.79137, 0.8570, 0.8643, 0.6088, 81.42
1, 0.0500, 31/50, 10.68574, 0.8761, 0.7403, 0.6105, 81.35
1, 0.0500, 32/50, 10.90753, 0.8353, 0.8335, 0.6102, 81.43
1, 0.0500, 33/50, 10.93323, 0.8544, 0.9090, 0.6115, 81.51
1, 0.0500, 34/50, 10.96399, 0.8699, 0.8601, 0.6121, 81.44
1, 0.0500, 35/50, 11.12219, 0.8363, 0.9763, 0.611, 81.25
1, 0.0500, 36/50, 11.17722, 0.8517, 0.9151, 0.6126, 81.15
1, 0.0500, 37/50, 11.23973, 0.8170, 0.8814, 0.6116, 81.05
1, 0.0500, 38/50, 11.34192, 0.9293, 0.9449, 0.6141, 81.0
1, 0.0500, 39/50, 11.38608, 0.8046, 0.8765, 0.6129, 80.94
1, 0.0500, 40/50, 11.47313, 0.9233, 0.9425, 0.6128, 81.02000000000001
1, 0.0500, 41/50, 11.45415, 0.9266, 0.9620, 0.6137, 81.07
1, 0.0500, 42/50, 11.32441, 0.9371, 0.9317, 0.6157, 81.06
1, 0.0500, 43/50, 11.33441, 0.9769, 0.9346, 0.618, 81.2
1, 0.0500, 44/50, 11.35952, 0.9759, 1.0057, 0.617, 81.27
1, 0.0500, 45/50, 11.36520, 0.9154, 0.9408, 0.6182, 81.34
1, 0.0500, 46/50, 11.29713, 0.8457, 0.8681, 0.618, 81.22
1, 0.0500, 47/50, 11.20742, 0.8203, 0.9429, 0.6188, 80.97999999999999
1, 0.0500, 48/50, 11.17096, 0.8467, 0.9262, 0.6209, 80.87
1, 0.0500, 49/50, 11.21426, 0.9210, 0.9122, 0.6221, 81.2
1, 0.0500, 50/50, 11.43018, 0.9088, 0.8783, 0.6213, 81.16
1, 0.1000, 1/50, 2.50477, 1.8888, 1.9083, 0.5546, 24.15
1, 0.1000, 2/50, 2.67779, 1.6763, 1.6712, 0.5401, 35.15
1, 0.1000, 3/50, 3.01925, 1.4355, 1.4173, 0.5286, 47.19
1, 0.1000, 4/50, 3.44998, 1.2331, 1.2305, 0.5199, 57.410000000000004
1, 0.1000, 5/50, 3.55323, 1.0159, 1.0881, 0.5174, 63.83
1, 0.1000, 6/50, 3.51201, 0.8612, 0.8715, 0.5235, 71.08
1, 0.1000, 7/50, 3.73560, 0.8634, 0.8169, 0.5261, 71.5
1, 0.1000, 8/50, 3.82951, 0.9445, 0.8994, 0.5326, 70.03
1, 0.1000, 9/50, 4.43104, 0.7881, 0.7950, 0.5398, 74.13
1, 0.1000, 10/50, 4.89265, 1.0029, 1.0788, 0.5362, 67.15
1, 0.1000, 11/50, 4.51824, 0.8574, 0.8766, 0.5466, 72.87
1, 0.1000, 12/50, 5.25288, 0.9908, 0.9733, 0.5338, 71.35000000000001
1, 0.1000, 13/50, 4.98820, 0.9025, 0.9098, 0.5487, 73.88
1, 0.1000, 14/50, 5.19384, 1.0881, 1.0601, 0.5501, 71.37
1, 0.1000, 15/50, 4.89691, 0.9607, 1.0105, 0.5667, 73.1
1, 0.1000, 16/50, 4.86139, 0.9798, 0.9227, 0.5741, 74.56
1, 0.1000, 17/50, 5.84362, 1.3143, 1.3023, 0.5679, 69.72
1, 0.1000, 18/50, 5.71412, 0.9546, 0.9901, 0.5851, 75.83
1, 0.1000, 19/50, 5.52681, 0.8357, 0.9195, 0.6201, 78.31
1, 0.1000, 20/50, 5.46040, 0.9320, 0.8190, 0.6265, 78.39
1, 0.1000, 21/50, 5.68357, 0.9419, 0.9425, 0.6273, 77.86
1, 0.1000, 22/50, 5.67340, 0.9227, 0.9004, 0.6351, 78.96
1, 0.1000, 23/50, 5.70039, 0.9381, 0.8812, 0.6436, 78.75
1, 0.1000, 24/50, 6.22148, 0.8495, 0.9121, 0.6358, 79.17
1, 0.1000, 25/50, 6.25814, 0.8793, 0.9074, 0.6447, 80.47
1, 0.1000, 26/50, 6.97218, 0.9035, 0.9652, 0.6541, 80.74
1, 0.1000, 27/50, 7.18962, 0.8639, 0.8701, 0.6526, 81.39
1, 0.1000, 28/50, 7.35707, 0.9117, 0.9366, 0.6481, 81.73
1, 0.1000, 29/50, 7.57849, 1.0053, 0.8574, 0.6466, 81.67
1, 0.1000, 30/50, 7.70429, 0.9071, 0.9329, 0.6465, 81.69
1, 0.1000, 31/50, 7.66422, 0.9249, 0.7983, 0.6466, 81.67
